holdout_id,group,role_family,component,observed_relation,pseudo_same_relation,pseudo_families,mean_match_distance,median_source_event_ratio,observed_control_minus_real_family_continuity_score,pseudo_mean_control_minus_real_family_continuity_score,observed_percentile_control_minus_real_family_continuity_score,observed_control_minus_real_mean_family_event_share,pseudo_mean_control_minus_real_mean_family_event_share,observed_percentile_control_minus_real_mean_family_event_share,observed_control_minus_real_mean_member_coverage,pseudo_mean_control_minus_real_mean_member_coverage,observed_percentile_control_minus_real_mean_member_coverage
2083_5m_windows,year:2024,rf_13,volume,abgeschwaecht,27,100,0.14455981408974777,1.0034562211981566,-0.16658107687519452,-0.031202674734634124,0.02,-0.0004471272076905879,0.0005617035546613011,0.205,-0.14814814814814814,-0.04314814814814815,0.01
2083_5m_windows,year:2025,rf_13,volume,verstaerkt,25,100,0.14455981408974777,1.0034562211981566,0.029532001479837255,-0.06060313578667758,0.81,0.00011178180192264681,6.259780907668215e-05,0.56,0.05555555555555558,-0.08851851851851851,0.855
2083_5m_windows,asset:BTC,rf_13,volume,abgeschwaecht,31,100,0.14455981408974777,1.0034562211981566,-0.044189814814814876,-0.025012780100336536,0.43,-0.00016767270288397087,0.00025486250838363506,0.34,-0.07407407407407407,-0.039444444444444435,0.37
2083_5m_windows,asset:SOL,rf_13,volume,abgeschwaecht,38,100,0.14455981408974777,1.0034562211981566,-0.0504497354497353,-0.06935351163621635,0.58,-0.00016767270288397043,0.0003694388553543483,0.265,-0.018518518518518545,-0.09222222222222222,0.75
2083_5m_windows,overall,rf_17,volume,abgeschwaecht,41,100,0.45198108761550226,1.0472312703583062,-0.19285714285714295,-0.058481746212548334,0.15,-0.0011737089201877935,0.0001676727028839704,0.015,-0.2222222222222222,-0.05666666666666667,0.09
2083_5m_windows,year:2024,rf_17,volume,abgeschwaecht,46,100,0.45198108761550226,1.0472312703583062,-0.061111111111111116,-0.060205784019496236,0.53,-0.0007265817124972055,0.000154817795662866,0.14,-0.1111111111111111,-0.06194444444444445,0.305
2083_5m_windows,year:2025,rf_17,volume,abgeschwaecht,35,100,0.45198108761550226,1.0472312703583062,-0.29987468671679196,-0.05553840022477624,0.08,-0.0016208361278783816,0.00018052761010507485,0.0,-0.33333333333333337,-0.0513888888888889,0.08
2083_5m_windows,asset:BTC,rf_17,volume,abgeschwaecht,46,100,0.45198108761550226,1.0472312703583062,-0.1944444444444443,-0.07977170496503394,0.2,-0.001676727028839705,0.0001503465235859602,0.0,-0.2222222222222222,-0.08694444444444444,0.185
2083_5m_windows,asset:SOL,rf_17,volume,abgeschwaecht,32,100,0.45198108761550226,1.0472312703583062,-0.2055555555555556,-0.033722771729600025,0.1,-0.0006706908115358819,0.0001849988821819807,0.115,-0.2222222222222222,-0.026388888888888892,0.075
2083_5m_windows,overall,rf_21,volume,abgeschwaecht,13,100,1.148641803475441,0.6791147994467497,-0.07167143765903294,-0.027497450553698944,0.25,-0.002040017885088308,0.0011991392801251955,0.0,-0.05555555555555558,-0.03208333333333334,0.29
2083_5m_windows,year:2024,rf_21,volume,abgeschwaecht,27,100,1.148641803475441,0.6791147994467497,-0.09684343434343445,-0.023667231257029794,0.09,-0.002012072434607647,0.0005745584618824054,0.23,-0.08333333333333337,-0.02972222222222223,0.195
2083_5m_windows,year:2025,rf_21,volume,abgeschwaecht,1,100,1.148641803475441,0.6791147994467497,-0.03086254462836735,-0.0311693819312188,0.37,-0.0020679633355689675,0.0018237200983679854,0.0,-0.02777777777777779,-0.03444444444444444,0.37
2083_5m_windows,asset:BTC,rf_21,volume,abgeschwaecht,13,100,1.148641803475441,0.6791147994467497,-0.08567042917390222,-0.03419739037634195,0.26,-0.001956181533646323,0.0020729935166554883,0.03,-0.08333333333333337,-0.037500000000000006,0.31
2083_5m_windows,asset:SOL,rf_21,volume,abgeschwaecht,22,100,1.148641803475441,0.6791147994467497,-0.05599567345291245,-0.020294570212368097,0.27,-0.0021238542365302933,0.0003252850435949025,0.0,-0.02777777777777779,-0.026666666666666672,0.375
