preview_symbol,target_group,chain,world,run,tick,window_start_tick,window_end_tick,window_label,raw_direction,raw_net_pct,raw_range_pct,raw_avg_body_pct,raw_direction_changes,sehen_form_stability,sehen_form_change,sehen_form_flow,hoeren_energy_tone,hoeren_energy_shift,perception_auditory_loudness,perception_visual_sharpness,mcm_carry_quality,mcm_strain_quality,mcm_rekopplung_quality,mcm_field_phase_signature_depth,mcm_field_phase_signature_drift,lookback,raw_motion_class,sensory_class,field_contact_class,combined_prephase_class,asset
dio_mcm_episode_1y7uo9c,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,467,419,466,weite_unruhige_steigend,steigend,0.5453387213679647,1.569611170034255,0.11700343435794827,31.0,0.57861,-0.609798,0.72767,-0.208164,-0.234838,0.219367,0.512196,0.404733,0.229918,0.616006,0.451068,0.0,lb48,enge_unruhige_vorphase_steigend,sicht_zerfaellt_gedaempft_leise,offene_rekopplung,enge_unruhige_vorphase_steigend | sicht_zerfaellt_gedaempft_leise | offene_rekopplung,BTC
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5441,5393,5440,weite_unruhige_steigend,steigend,1.0237314661935226,1.8168113062080815,0.1112758167964727,18.0,0.934549,-0.784495,-0.899305,0.838563,0.627728,0.750012,0.687642,0.362452,0.289025,0.579178,0.47321,0.031237,lb48,mittlere_vorphase_steigend,sicht_stabil_hoch_schwingend_laut,spannungsnahe_oeffnung,mittlere_vorphase_steigend | sicht_stabil_hoch_schwingend_laut | spannungsnahe_oeffnung,BTC
dio_mcm_episode_0x60uui,oberflaeche_rekoppelt_spaet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5442,5394,5441,weite_unruhige_steigend,steigend,0.633969522684094,1.8176665702299446,0.1194582804173464,18.0,0.150632,0.895734,-0.784663,0.154999,-0.602045,0.342758,0.271181,0.39183,0.258544,0.595226,0.454086,0.087281,lb48,mittlere_vorphase_steigend,sicht_wechselt_wechselnd_mittel,offene_rekopplung,mittlere_vorphase_steigend | sicht_wechselt_wechselnd_mittel | offene_rekopplung,BTC
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5551,5503,5550,weite_unruhige_steigend,steigend,0.9108025781019071,1.4128790459563925,0.14563380861888744,26.0,0.805434,0.807334,0.700667,0.791972,0.759824,0.77847,0.649061,0.369418,0.293034,0.582426,0.481214,0.15234,lb48,enge_unruhige_vorphase_steigend,sicht_wechselt_hoch_schwingend_laut,spannungsnahe_oeffnung,enge_unruhige_vorphase_steigend | sicht_wechselt_hoch_schwingend_laut | spannungsnahe_oeffnung,BTC
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5655,5607,5654,weite_unruhige_fallend,fallend,-0.3096586531052556,2.988656098486193,0.19327367770556453,23.0,0.79292,-0.454311,-0.681415,0.769141,0.723969,0.750169,0.714909,0.352747,0.296549,0.573937,0.49278,0.037939,lb48,enge_unruhige_vorphase_fallend,sicht_stabil_hoch_schwingend_laut,spannungsnahe_oeffnung,enge_unruhige_vorphase_fallend | sicht_stabil_hoch_schwingend_laut | spannungsnahe_oeffnung,BTC
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5676,5628,5675,weite_unruhige_fallend,fallend,-0.4703443267346745,4.1278509146543545,0.25591605921519917,26.0,0.63501,-0.997687,-0.947171,0.671186,0.779441,0.716653,0.578876,0.364588,0.286686,0.577486,0.502656,0.053478,lb48,weite_unruhige_vorphase_fallend,sicht_zerfaellt_hoch_schwingend_laut,spannungsnahe_oeffnung,weite_unruhige_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | spannungsnahe_oeffnung,BTC
dio_mcm_episode_0x60uui,oberflaeche_rekoppelt_spaet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5770,5722,5769,weite_unruhige_fallend,fallend,-1.5035582922738884,2.3760942685084308,0.21307277253458254,22.0,-0.077377,-0.974131,-0.604416,0.544357,0.597423,0.566645,0.380486,0.372517,0.272927,0.584418,0.469716,0.047157,lb48,enge_unruhige_vorphase_fallend,sicht_zerfaellt_hoch_schwingend_laut,offene_rekopplung,enge_unruhige_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,BTC
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5777,5729,5776,weite_unruhige_fallend,fallend,-1.8681515454330198,2.8900165393005754,0.24820463228776846,21.0,0.72058,-0.947439,-0.89356,0.782625,0.701286,0.748462,0.607118,0.360515,0.292444,0.574707,0.511575,0.03936,lb48,enge_unruhige_vorphase_fallend,sicht_zerfaellt_hoch_schwingend_laut,spannungsnahe_oeffnung,enge_unruhige_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | spannungsnahe_oeffnung,BTC
dio_mcm_episode_0x60uui,oberflaeche_rekoppelt_spaet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5826,5778,5825,weite_unruhige_seitwaerts,seitwaerts,0.11272708220968236,3.0875700108608557,0.17704142294317152,24.0,0.12674,-0.727246,-0.496167,0.550768,0.701295,0.61399,0.505227,0.367171,0.279012,0.583001,0.484044,0.030659,lb48,enge_unruhige_vorphase_seitwaerts,sicht_zerfaellt_hoch_schwingend_laut,offene_rekopplung,enge_unruhige_vorphase_seitwaerts | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,BTC
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5953,5905,5952,weite_unruhige_seitwaerts,seitwaerts,0.17805813031734827,2.4254167740878505,0.19916026757711638,25.0,0.919862,0.894413,0.876711,0.815434,0.760923,0.792539,0.668171,0.367391,0.300729,0.577198,0.517404,0.144188,lb48,enge_unruhige_vorphase_seitwaerts,sicht_stabil_hoch_schwingend_laut,spannungsnahe_oeffnung,enge_unruhige_vorphase_seitwaerts | sicht_stabil_hoch_schwingend_laut | spannungsnahe_oeffnung,BTC
dio_mcm_episode_0xg0gjh,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,6036,5988,6035,weite_unruhige_fallend,fallend,-0.8056663912347642,1.335380307379024,0.12368057018021314,26.0,0.374733,-0.597375,-0.540612,0.767905,0.720513,0.748,0.607724,0.399254,0.27859,0.594518,0.475663,0.037795,lb48,enge_unruhige_vorphase_fallend,sicht_zerfaellt_hoch_schwingend_laut,offene_rekopplung,enge_unruhige_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,BTC
dio_mcm_episode_0xg0gjh,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,6248,6200,6247,weite_unruhige_fallend,fallend,-1.4139137392494188,1.7109690439352638,0.13784420515042048,15.0,0.117484,-0.713553,-0.471994,0.740417,0.554195,0.662204,0.49883,0.412377,0.264887,0.60376,0.491857,0.0206,lb48,mittlere_vorphase_fallend,sicht_zerfaellt_hoch_schwingend_laut,offene_rekopplung,mittlere_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,BTC
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,6517,6469,6516,weite_unruhige_steigend,steigend,3.47144441468984,4.690274076618646,0.20696591777835985,24.0,0.338316,-0.997219,-0.973738,0.66675,0.674077,0.669827,0.517727,0.369552,0.278963,0.581428,0.524131,0.07032,lb48,weite_unruhige_vorphase_steigend,sicht_zerfaellt_hoch_schwingend_laut,offene_rekopplung,weite_unruhige_vorphase_steigend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,BTC
dio_mcm_episode_0x60uui,oberflaeche_rekoppelt_spaet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,9509,9461,9508,weite_unruhige_fallend,fallend,-1.8786398914579048,2.3749223447491774,0.20251934883542985,20.0,-0.336927,0.932522,-0.312128,0.56855,0.438818,0.514063,0.194501,0.37761,0.266106,0.589304,0.495701,0.056132,lb48,enge_unruhige_vorphase_fallend,sicht_wechselt_hell_getragen_mittel,offene_rekopplung,enge_unruhige_vorphase_fallend | sicht_wechselt_hell_getragen_mittel | offene_rekopplung,BTC
dio_mcm_episode_0xg0gjh,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,10029,9981,10028,weite_unruhige_steigend,steigend,0.9787135643658635,2.0144858393539775,0.16761122191586514,22.0,0.053038,-0.858738,-0.650066,0.704651,0.5179,0.626215,0.458099,0.370284,0.27844,0.582945,0.502296,0.036757,lb48,enge_unruhige_vorphase_steigend,sicht_zerfaellt_hoch_schwingend_laut,offene_rekopplung,enge_unruhige_vorphase_steigend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,BTC
dio_mcm_episode_0xg0gjh,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,10044,9996,10043,weite_unruhige_seitwaerts,seitwaerts,-0.16944313883355683,2.8359515523514442,0.19893093913932786,25.0,0.166029,-0.630587,-0.556,0.773623,0.631211,0.71381,0.550915,0.352526,0.297151,0.570521,0.510947,0.026875,lb48,enge_unruhige_vorphase_seitwaerts,sicht_zerfaellt_hoch_schwingend_laut,spannungsnahe_oeffnung,enge_unruhige_vorphase_seitwaerts | sicht_zerfaellt_hoch_schwingend_laut | spannungsnahe_oeffnung,BTC
dio_mcm_episode_0x60uui,oberflaeche_rekoppelt_spaet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,12876,12828,12875,weite_unruhige_steigend,steigend,0.23953178923561436,1.3612168976494075,0.12337578155076169,28.0,0.104533,-0.661339,0.579258,0.066114,-0.75122,0.353859,0.385408,0.381895,0.256737,0.593775,0.506469,0.04828,lb48,enge_unruhige_vorphase_steigend,sicht_zerfaellt_wechselnd_mittel,offene_rekopplung,enge_unruhige_vorphase_steigend | sicht_zerfaellt_wechselnd_mittel | offene_rekopplung,BTC
dio_mcm_episode_0xg0gjh,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,14872,14824,14871,weite_unruhige_steigend,steigend,0.6259509600569163,1.1456003220190767,0.09647097427374082,26.0,0.379322,-0.90657,-0.6662,0.709858,0.67991,0.69728,0.511328,0.360997,0.291791,0.574299,0.518965,0.031358,lb48,enge_unruhige_vorphase_steigend,sicht_zerfaellt_hoch_schwingend_laut,spannungsnahe_oeffnung,enge_unruhige_vorphase_steigend | sicht_zerfaellt_hoch_schwingend_laut | spannungsnahe_oeffnung,BTC
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,15926,15878,15925,weite_unruhige_fallend,fallend,-1.2417333107258064,1.440797146950059,0.09787323315110638,18.0,0.824554,-0.646993,-0.730083,0.827452,0.634588,0.746449,0.699746,0.358076,0.291891,0.577561,0.530798,0.02903,lb48,mittlere_vorphase_fallend,sicht_stabil_hoch_schwingend_laut,spannungsnahe_oeffnung,mittlere_vorphase_fallend | sicht_stabil_hoch_schwingend_laut | spannungsnahe_oeffnung,BTC
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,16351,16303,16350,weite_unruhige_fallend,fallend,-0.8666642762112301,3.9317830764136947,0.2563647040251382,19.0,0.852998,-0.984309,-0.985592,0.773549,0.652282,0.722617,0.641566,0.368916,0.281864,0.582953,0.536675,0.045007,lb48,mittlere_vorphase_fallend,sicht_zerfaellt_hoch_schwingend_laut,spannungsnahe_oeffnung,mittlere_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | spannungsnahe_oeffnung,BTC
dio_mcm_episode_0xg0gjh,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,16578,16530,16577,weite_unruhige_steigend,steigend,0.44037598757454754,1.2983298397536356,0.100392193628025,21.0,0.038328,-0.535142,-0.294267,0.798228,0.702158,0.757879,0.511279,0.421156,0.285452,0.60103,0.528466,0.050794,lb48,enge_unruhige_vorphase_steigend,sicht_zerfaellt_hoch_schwingend_laut,getragen_offen,enge_unruhige_vorphase_steigend | sicht_zerfaellt_hoch_schwingend_laut | getragen_offen,BTC
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,16721,16673,16720,weite_unruhige_seitwaerts,seitwaerts,0.0017582687040834071,1.2781544261266318,0.13721797261084553,26.0,0.775949,-0.802337,-0.829587,0.863507,0.659581,0.777858,0.655964,0.354859,0.298128,0.571822,0.541688,0.036968,lb48,enge_unruhige_vorphase_seitwaerts,sicht_zerfaellt_hoch_schwingend_laut,spannungsnahe_oeffnung,enge_unruhige_vorphase_seitwaerts | sicht_zerfaellt_hoch_schwingend_laut | spannungsnahe_oeffnung,BTC
dio_mcm_episode_0xg0gjh,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,451,403,450,weite_unruhige_fallend,fallend,-0.3498451003530927,0.8640048599618785,0.06923811524409608,26.0,0.134198,-0.538367,-0.498526,0.725756,0.643255,0.691106,0.573692,0.354113,0.292809,0.573877,0.575715,0.019176,lb48,enge_unruhige_vorphase_fallend,sicht_zerfaellt_hoch_schwingend_laut,spannungsnahe_oeffnung,enge_unruhige_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | spannungsnahe_oeffnung,BTC
dio_mcm_episode_1y7uo9c,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,454,406,453,weite_unruhige_fallend,fallend,-0.4666970177232178,1.3339277696902478,0.08170271175076503,24.0,-0.340613,0.304682,-0.034084,-0.147718,0.28463,0.205221,0.5263,0.480798,0.156675,0.67784,0.557002,0.066132,lb48,enge_unruhige_vorphase_fallend,sicht_wechselt_gedaempft_leise,tragende_rekopplung,enge_unruhige_vorphase_fallend | sicht_wechselt_gedaempft_leise | tragende_rekopplung,BTC
dio_mcm_episode_1y7uo9c,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,455,407,454,weite_unruhige_fallend,fallend,-0.4709054840401811,1.3338011006903026,0.08160635365091977,24.0,-0.341347,-0.710544,-0.031803,0.205951,0.31605,0.252192,0.368684,0.461379,0.191764,0.650911,0.56926,0.020188,lb48,enge_unruhige_vorphase_fallend,sicht_zerfaellt_gedaempft_mittel,tragende_rekopplung,enge_unruhige_vorphase_fallend | sicht_zerfaellt_gedaempft_mittel | tragende_rekopplung,BTC
dio_mcm_episode_1y7uo9c,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,474,426,473,weite_unruhige_steigend,steigend,2.1158315604163214,4.214386705280511,0.208450569615637,25.0,0.256165,0.356685,0.545161,-0.17739,-0.218681,0.194732,0.682351,0.437897,0.170574,0.656655,0.577525,0.072825,lb48,weite_unruhige_vorphase_steigend,sicht_wechselt_gedaempft_leise,tragende_rekopplung,weite_unruhige_vorphase_steigend | sicht_wechselt_gedaempft_leise | tragende_rekopplung,BTC
dio_mcm_episode_16yidit,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,753,705,752,weite_unruhige_fallend,fallend,-2.74906605392275,4.971511661868488,0.26405186778958056,30.0,0.254146,-0.462765,0.867227,-0.327994,-0.534627,0.41478,0.447359,0.374815,0.271128,0.584643,0.532197,0.032227,lb48,weite_unruhige_vorphase_fallend,sicht_zerfaellt_wechselnd_mittel,offene_rekopplung,weite_unruhige_vorphase_fallend | sicht_zerfaellt_wechselnd_mittel | offene_rekopplung,BTC
dio_mcm_episode_16yidit,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,1043,995,1042,weite_unruhige_fallend,fallend,-1.9889348660243962,4.138239683643876,0.2592324776064735,20.0,-0.076203,-0.501893,0.520648,-0.39303,-0.278166,0.344787,0.416276,0.387517,0.252175,0.599119,0.545105,0.015956,lb48,weite_unruhige_vorphase_fallend,sicht_zerfaellt_gedaempft_mittel,offene_rekopplung,weite_unruhige_vorphase_fallend | sicht_zerfaellt_gedaempft_mittel | offene_rekopplung,BTC
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,1191,1143,1190,weite_unruhige_seitwaerts,seitwaerts,0.13833345160618413,1.779071657323118,0.13800581673507573,19.0,0.537327,-0.695446,-0.676312,0.713036,0.6734,0.696389,0.635423,0.362356,0.285173,0.579987,0.58763,0.026544,lb48,mittlere_vorphase_seitwaerts,sicht_zerfaellt_hoch_schwingend_laut,spannungsnahe_oeffnung,mittlere_vorphase_seitwaerts | sicht_zerfaellt_hoch_schwingend_laut | spannungsnahe_oeffnung,BTC
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,1319,1271,1318,weite_unruhige_seitwaerts,seitwaerts,0.13817342807359148,2.0424715345106637,0.21513087753183135,24.0,0.135213,-0.743829,-0.733018,0.768097,0.463401,0.640124,0.535387,0.370806,0.275166,0.58537,0.592056,0.041669,lb48,enge_unruhige_vorphase_seitwaerts,sicht_zerfaellt_hoch_schwingend_laut,offene_rekopplung,enge_unruhige_vorphase_seitwaerts | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,BTC
dio_mcm_episode_0xg0gjh,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,1361,1313,1360,weite_unruhige_steigend,steigend,0.23925407537750326,3.2135621195539468,0.2733159096341525,28.0,0.145329,-0.788672,-0.584256,0.697031,0.647365,0.676171,0.49175,0.360578,0.290317,0.573513,0.581504,0.016559,lb48,enge_unruhige_vorphase_steigend,sicht_zerfaellt_hoch_schwingend_laut,spannungsnahe_oeffnung,enge_unruhige_vorphase_steigend | sicht_zerfaellt_hoch_schwingend_laut | spannungsnahe_oeffnung,BTC
