role_family,asset,timeframe,window_start,component,lag,control_kind,real_member_coverage,control_member_coverage,real_minus_control_member_coverage,real_family_event_share,control_family_event_share,real_minus_control_family_event_share,real_phase_complete_ratio,control_phase_complete_ratio,real_minus_control_phase_complete_ratio,real_mean_afterimage_delta,control_mean_afterimage_delta,real_minus_control_mean_afterimage_delta,real_mean_temporal_delta,control_mean_temporal_delta,real_minus_control_mean_temporal_delta,real_joint_coverage_event_advantage
rf_05,SOL,15m,24000,magnitude,17,magnitude_phase_017,0.875,1.0,-0.125,0.030181086519114688,0.02716297786720322,0.0030181086519114678,0.5,0.125,0.375,0.23192658095238092,0.07681693406593407,0.15510964688644685,0.332140780952381,0.3014805824175825,0.030660198534798455,0
rf_05,SOL,15m,24000,magnitude,83,magnitude_phase_083,0.875,0.75,0.125,0.030181086519114688,0.02012072434607646,0.01006036217303823,0.5,0.25,0.25,0.23192658095238092,0.1673172222222222,0.06460935873015872,0.332140780952381,0.46364283333333334,-0.13150205238095236,1
rf_05,SOL,15m,24000,magnitude,251,magnitude_phase_251,0.875,1.0,-0.125,0.030181086519114688,0.03319919517102616,-0.0030181086519114712,0.5,0.5,0.0,0.23192658095238092,0.27640625454545453,-0.044479673593073615,0.332140780952381,0.37815461818181817,-0.04601383722943719,0
rf_05,SOL,15m,24000,wick,17,wick_phase_017,0.875,0.875,0.0,0.030181086519114688,0.02012072434607646,0.01006036217303823,0.5,0.125,0.375,0.23192658095238092,0.14663749999999998,0.08528908095238094,0.332140780952381,0.3824377272727273,-0.050296946320346314,0
rf_05,SOL,15m,24000,wick,83,wick_phase_083,0.875,1.0,-0.125,0.030181086519114688,0.03219315895372234,-0.0020120724346076486,0.5,0.375,0.125,0.23192658095238092,0.3145806666666667,-0.08265408571428576,0.332140780952381,0.4306704583333333,-0.09852967738095231,0
rf_05,SOL,15m,24000,wick,251,wick_phase_251,0.875,0.875,0.0,0.030181086519114688,0.025150905432595575,0.005030181086519113,0.5,0.125,0.375,0.23192658095238092,0.15275176923076925,0.07917481172161167,0.332140780952381,0.14434908653846162,0.18779169441391935,0
rf_05,SOL,15m,24000,volume,17,volume_phase_017,0.875,0.75,0.125,0.030181086519114688,0.02716297786720322,0.0030181086519114678,0.5,0.375,0.125,0.23192658095238092,0.3297669487179487,-0.09784036776556779,0.332140780952381,0.3177501538461538,0.014390627106227183,1
rf_05,SOL,15m,24000,volume,83,volume_phase_083,0.875,0.875,0.0,0.030181086519114688,0.03319919517102616,-0.0030181086519114712,0.5,0.25,0.25,0.23192658095238092,0.32548825000000003,-0.09356166904761912,0.332140780952381,0.34174901470588226,-0.009608233753501283,0
rf_05,SOL,15m,24000,volume,251,volume_phase_251,0.875,0.875,0.0,0.030181086519114688,0.025150905432595575,0.005030181086519113,0.5,0.125,0.375,0.23192658095238092,0.19497175,0.03695483095238092,0.332140780952381,0.34095914285714296,-0.008818361904761984,0
rf_05,SOL,1h,0,sign,17,sign_phase_017,0.875,0.875,0.0,0.023138832997987926,0.018108651911468814,0.005030181086519113,0.125,0.125,0.0,0.03838159999999999,0.09304538636363638,-0.05466378636363639,0.2912243333333335,0.41536359090909086,-0.12413925757575739,0
rf_05,SOL,1h,0,sign,83,sign_phase_083,0.875,0.875,0.0,0.023138832997987926,0.026156941649899398,-0.0030181086519114712,0.125,0.5,-0.375,0.03838159999999999,0.2733951076923077,-0.2350135076923077,0.2912243333333335,0.4323096923076923,-0.1410853589743588,0
rf_05,SOL,1h,0,sign,251,sign_phase_251,0.875,0.75,0.125,0.023138832997987926,0.02414486921529175,-0.0010060362173038226,0.125,0.375,-0.25,0.03838159999999999,0.2086834090909091,-0.1703018090909091,0.2912243333333335,0.4037907045454545,-0.11256637121212104,0
rf_05,SOL,1h,0,magnitude,17,magnitude_phase_017,0.875,1.0,-0.125,0.023138832997987926,0.02716297786720322,-0.004024144869215294,0.125,0.125,0.0,0.03838159999999999,0.17850583809523807,-0.14012423809523808,0.2912243333333335,0.3511258095238096,-0.059901476190476144,0
rf_05,SOL,1h,0,magnitude,83,magnitude_phase_083,0.875,1.0,-0.125,0.023138832997987926,0.030181086519114688,-0.007042253521126762,0.125,0.375,-0.25,0.03838159999999999,0.2339994285714286,-0.19561782857142862,0.2912243333333335,0.3100592857142857,-0.01883495238095223,0
rf_05,SOL,1h,0,magnitude,251,magnitude_phase_251,0.875,0.875,0.0,0.023138832997987926,0.025150905432595575,-0.0020120724346076486,0.125,0.25,-0.125,0.03838159999999999,0.22649200000000003,-0.18811040000000004,0.2912243333333335,0.5149662857142857,-0.22374195238095224,0
rf_05,SOL,1h,0,wick,17,wick_phase_017,0.875,0.625,0.25,0.023138832997987926,0.01609657947686117,0.007042253521126758,0.125,0.125,0.0,0.03838159999999999,0.23908583333333333,-0.20070423333333334,0.2912243333333335,0.4018514999999999,-0.11062716666666644,1
rf_05,SOL,1h,0,wick,83,wick_phase_083,0.875,0.875,0.0,0.023138832997987926,0.028169014084507043,-0.005030181086519116,0.125,0.125,0.0,0.03838159999999999,0.3568641666666667,-0.31848256666666674,0.2912243333333335,0.44907041666666664,-0.15784608333333316,0
rf_05,SOL,1h,0,wick,251,wick_phase_251,0.875,0.75,0.125,0.023138832997987926,0.018108651911468814,0.005030181086519113,0.125,0.25,-0.125,0.03838159999999999,0.20064466666666667,-0.16226306666666668,0.2912243333333335,0.48168733333333336,-0.19046299999999988,1
rf_05,SOL,1h,0,volume,17,volume_phase_017,0.875,0.875,0.0,0.023138832997987926,0.026156941649899398,-0.0030181086519114712,0.125,0.375,-0.25,0.03838159999999999,0.18826699999999996,-0.14988539999999997,0.2912243333333335,0.37834114285714293,-0.08711680952380946,0
rf_05,SOL,1h,0,volume,83,volume_phase_083,0.875,1.0,-0.125,0.023138832997987926,0.03420523138832998,-0.011066398390342055,0.125,0.25,-0.125,0.03838159999999999,0.25868636974789916,-0.22030476974789917,0.2912243333333335,0.3504229663865546,-0.05919863305322115,0
rf_05,SOL,1h,0,volume,251,volume_phase_251,0.875,0.875,0.0,0.023138832997987926,0.028169014084507043,-0.005030181086519116,0.125,0.25,-0.125,0.03838159999999999,0.07529349107142858,-0.03691189107142859,0.2912243333333335,0.28643409821428567,0.004790235119047803,0
rf_05,SOL,1h,3000,sign,17,sign_phase_017,1.0,0.875,0.125,0.019114688128772636,0.013078470824949699,0.006036217303822937,0.0,0.125,-0.125,0.2312957142857143,0.1490235,0.0822722142857143,0.523706761904762,0.45394566666666664,0.06976109523809532,1
rf_05,SOL,1h,3000,sign,83,sign_phase_083,1.0,0.875,0.125,0.019114688128772636,0.02716297786720322,-0.008048289738430584,0.0,0.125,-0.125,0.2312957142857143,0.2537262,-0.022430485714285714,0.523706761904762,0.46176300000000003,0.06194376190476192,0
rf_05,SOL,1h,3000,sign,251,sign_phase_251,1.0,0.875,0.125,0.019114688128772636,0.013078470824949699,0.006036217303822937,0.0,0.125,-0.125,0.2312957142857143,0.13246508333333332,0.09883063095238098,0.523706761904762,0.49182958333333326,0.03187717857142869,1
rf_05,SOL,1h,3000,magnitude,17,magnitude_phase_017,1.0,0.875,0.125,0.019114688128772636,0.028169014084507043,-0.009054325955734407,0.0,0.375,-0.375,0.2312957142857143,0.2760225833333333,-0.044726869047618995,0.523706761904762,0.44384593055555566,0.0798608313492063,0
rf_05,SOL,1h,3000,magnitude,83,magnitude_phase_083,1.0,0.75,0.25,0.019114688128772636,0.012072434607645875,0.007042253521126762,0.0,0.125,-0.125,0.2312957142857143,0.1202385,0.1110572142857143,0.523706761904762,0.346102,0.17760476190476193,1
rf_05,SOL,1h,3000,magnitude,251,magnitude_phase_251,1.0,0.875,0.125,0.019114688128772636,0.014084507042253521,0.005030181086519115,0.0,0.25,-0.25,0.2312957142857143,0.11525056666666667,0.11604514761904763,0.523706761904762,0.41534460000000006,0.10836216190476189,1
rf_05,SOL,1h,3000,wick,17,wick_phase_017,1.0,0.75,0.25,0.019114688128772636,0.030181086519114688,-0.011066398390342052,0.0,0.25,-0.25,0.2312957142857143,0.3728618928571429,-0.14156617857142859,0.523706761904762,0.46202896428571427,0.06167779761904768,0
rf_05,SOL,1h,3000,wick,83,wick_phase_083,1.0,1.0,0.0,0.019114688128772636,0.02716297786720322,-0.008048289738430584,0.0,0.125,-0.125,0.2312957142857143,0.13364256666666666,0.09765314761904764,0.523706761904762,0.40786479999999997,0.11584196190476198,0
rf_05,SOL,1h,3000,wick,251,wick_phase_251,1.0,1.0,0.0,0.019114688128772636,0.02716297786720322,-0.008048289738430584,0.0,0.375,-0.375,0.2312957142857143,0.19662183333333327,0.034673880952381025,0.523706761904762,0.25585880769230773,0.2678479542124542,0
rf_05,SOL,1h,3000,volume,17,volume_phase_017,1.0,1.0,0.0,0.019114688128772636,0.022132796780684104,-0.0030181086519114678,0.0,0.0,0.0,0.2312957142857143,0.19037152777777774,0.040924186507936555,0.523706761904762,0.4743954722222223,0.04931128968253967,0
rf_05,SOL,1h,3000,volume,83,volume_phase_083,1.0,0.875,0.125,0.019114688128772636,0.022132796780684104,-0.0030181086519114678,0.0,0.125,-0.125,0.2312957142857143,0.24238533333333334,-0.011089619047619043,0.523706761904762,0.3973334166666667,0.12637334523809524,0
rf_05,SOL,1h,3000,volume,251,volume_phase_251,1.0,1.0,0.0,0.019114688128772636,0.022132796780684104,-0.0030181086519114678,0.0,0.125,-0.125,0.2312957142857143,0.1991116527777778,0.03218406150793651,0.523706761904762,0.4801851944444445,0.043521567460317434,0
rf_05,SOL,1h,6000,sign,17,sign_phase_017,0.875,0.75,0.125,0.02414486921529175,0.02414486921529175,0.0,0.25,0.25,0.0,0.35722880952380953,0.2327913,0.12443750952380953,0.5749013095238095,0.5691314,0.005769909523809513,0
rf_05,SOL,1h,6000,sign,83,sign_phase_083,0.875,0.875,0.0,0.02414486921529175,0.018108651911468814,0.0060362173038229355,0.25,0.375,-0.125,0.35722880952380953,0.29337985714285714,0.0638489523809524,0.5749013095238095,0.628169,-0.05326769047619051,0
rf_05,SOL,1h,6000,sign,251,sign_phase_251,0.875,0.75,0.125,0.02414486921529175,0.022132796780684104,0.002012072434607645,0.25,0.125,0.125,0.35722880952380953,0.16712737499999997,0.19010143452380956,0.5749013095238095,0.3223132857142857,0.2525880238095238,1
rf_05,SOL,1h,6000,magnitude,17,magnitude_phase_017,0.875,0.75,0.125,0.02414486921529175,0.03420523138832998,-0.010060362173038233,0.25,0.375,-0.125,0.35722880952380953,0.24945027272727271,0.10777853679653682,0.5749013095238095,0.37685267832167824,0.19804863120213123,0
rf_05,SOL,1h,6000,magnitude,83,magnitude_phase_083,0.875,0.875,0.0,0.02414486921529175,0.029175050301810865,-0.005030181086519116,0.25,0.5,-0.25,0.35722880952380953,0.18507395454545456,0.17215485497835498,0.5749013095238095,0.373449909090909,0.20145140043290044,0
rf_05,SOL,1h,6000,magnitude,251,magnitude_phase_251,0.875,0.875,0.0,0.02414486921529175,0.028169014084507043,-0.004024144869215294,0.25,0.375,-0.125,0.35722880952380953,0.3259514285714286,0.03127738095238092,0.5749013095238095,0.4743392857142858,0.10056202380952367,0
rf_05,SOL,1h,6000,wick,17,wick_phase_017,0.875,0.75,0.125,0.02414486921529175,0.028169014084507043,-0.004024144869215294,0.25,0.25,0.0,0.35722880952380953,0.24565054545454545,0.11157826406926408,0.5749013095238095,0.3577458961038961,0.21715541341991335,0
rf_05,SOL,1h,6000,wick,83,wick_phase_083,0.875,1.0,-0.125,0.02414486921529175,0.04024144869215292,-0.01609657947686117,0.25,0.5,-0.25,0.35722880952380953,0.20946757954545453,0.147761229978355,0.5749013095238095,0.28838686931818186,0.2865144402056276,0
rf_05,SOL,1h,6000,wick,251,wick_phase_251,0.875,0.875,0.0,0.02414486921529175,0.023138832997987926,0.0010060362173038226,0.25,0.375,-0.125,0.35722880952380953,0.2202315,0.13699730952380954,0.5749013095238095,0.5379585,0.03694280952380946,0
rf_05,SOL,1h,6000,volume,17,volume_phase_017,0.875,0.75,0.125,0.02414486921529175,0.025150905432595575,-0.001006036217303826,0.25,0.375,-0.125,0.35722880952380953,0.2459199777777778,0.11130883174603173,0.5749013095238095,0.45818231111111113,0.11671899841269834,0
rf_05,SOL,1h,6000,volume,83,volume_phase_083,0.875,1.0,-0.125,0.02414486921529175,0.025150905432595575,-0.001006036217303826,0.25,0.375,-0.125,0.35722880952380953,0.30352093406593406,0.053707875457875476,0.5749013095238095,0.4460246373626374,0.12887667216117205,0
rf_05,SOL,1h,6000,volume,251,volume_phase_251,0.875,0.875,0.0,0.02414486921529175,0.029175050301810865,-0.005030181086519116,0.25,0.375,-0.125,0.35722880952380953,0.30648615714285715,0.05074265238095238,0.5749013095238095,0.3790287999999999,0.19587250952380958,0
rf_06,BTC,15m,0,sign,17,sign_phase_017,0.25,0.5,-0.25,0.002012072434607646,0.004024144869215292,-0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
rf_06,BTC,15m,0,sign,83,sign_phase_083,0.25,0.125,0.125,0.002012072434607646,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
rf_06,BTC,15m,0,sign,251,sign_phase_251,0.25,0.125,0.125,0.002012072434607646,0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0490625,-0.0490625,0.0,0.3106665,-0.3106665,0
rf_06,BTC,15m,0,magnitude,17,magnitude_phase_017,0.25,0.5,-0.25,0.002012072434607646,0.005030181086519115,-0.0030181086519114686,0.0,0.0,0.0,0.0,0.032101,-0.032101,0.0,0.20815833333333333,-0.20815833333333333,0
rf_06,BTC,15m,0,magnitude,83,magnitude_phase_083,0.25,0.25,0.0,0.002012072434607646,0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
rf_06,BTC,15m,0,magnitude,251,magnitude_phase_251,0.25,0.125,0.125,0.002012072434607646,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
rf_06,BTC,15m,0,wick,17,wick_phase_017,0.25,0.25,0.0,0.002012072434607646,0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
rf_06,BTC,15m,0,wick,83,wick_phase_083,0.25,0.125,0.125,0.002012072434607646,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
rf_06,BTC,15m,0,wick,251,wick_phase_251,0.25,0.25,0.0,0.002012072434607646,0.004024144869215292,-0.002012072434607646,0.0,0.0,0.0,0.0,0.096118,-0.096118,0.0,0.431347,-0.431347,0
rf_06,BTC,15m,0,volume,17,volume_phase_017,0.25,0.125,0.125,0.002012072434607646,0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
rf_06,BTC,15m,0,volume,83,volume_phase_083,0.25,0.375,-0.125,0.002012072434607646,0.0030181086519114686,-0.0010060362173038226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
rf_06,BTC,15m,0,volume,251,volume_phase_251,0.25,0.25,0.0,0.002012072434607646,0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
rf_06,BTC,15m,12000,sign,17,sign_phase_017,0.375,0.25,0.125,0.005030181086519115,0.002012072434607646,0.0030181086519114686,0.0,0.0,0.0,0.046475499999999996,0.0,0.046475499999999996,0.02524700000000002,0.0,0.02524700000000002,1
rf_06,BTC,15m,12000,sign,83,sign_phase_083,0.375,0.25,0.125,0.005030181086519115,0.002012072434607646,0.0030181086519114686,0.0,0.0,0.0,0.046475499999999996,0.0,0.046475499999999996,0.02524700000000002,0.0,0.02524700000000002,1
rf_06,BTC,15m,12000,sign,251,sign_phase_251,0.375,0.0,0.375,0.005030181086519115,0.0,0.005030181086519115,0.0,0.0,0.0,0.046475499999999996,0.0,0.046475499999999996,0.02524700000000002,0.0,0.02524700000000002,1
rf_06,BTC,15m,12000,magnitude,17,magnitude_phase_017,0.375,0.625,-0.25,0.005030181086519115,0.007042253521126761,-0.002012072434607646,0.0,0.0,0.0,0.046475499999999996,0.040100000000000004,0.006375499999999992,0.02524700000000002,0.2503126,-0.22506559999999998,0
rf_06,BTC,15m,12000,magnitude,83,magnitude_phase_083,0.375,0.125,0.25,0.005030181086519115,0.002012072434607646,0.0030181086519114686,0.0,0.0,0.0,0.046475499999999996,0.10013,-0.0536545,0.02524700000000002,0.621402,-0.596155,1
rf_06,BTC,15m,12000,magnitude,251,magnitude_phase_251,0.375,0.25,0.125,0.005030181086519115,0.002012072434607646,0.0030181086519114686,0.0,0.0,0.0,0.046475499999999996,0.0,0.046475499999999996,0.02524700000000002,0.0,0.02524700000000002,1
rf_06,BTC,15m,12000,wick,17,wick_phase_017,0.375,0.125,0.25,0.005030181086519115,0.002012072434607646,0.0030181086519114686,0.0,0.0,0.0,0.046475499999999996,0.0,0.046475499999999996,0.02524700000000002,0.0,0.02524700000000002,1
rf_06,BTC,15m,12000,wick,83,wick_phase_083,0.375,0.25,0.125,0.005030181086519115,0.002012072434607646,0.0030181086519114686,0.0,0.0,0.0,0.046475499999999996,0.0,0.046475499999999996,0.02524700000000002,0.0,0.02524700000000002,1
rf_06,BTC,15m,12000,wick,251,wick_phase_251,0.375,0.125,0.25,0.005030181086519115,0.001006036217303823,0.004024144869215292,0.0,0.0,0.0,0.046475499999999996,0.0,0.046475499999999996,0.02524700000000002,0.0,0.02524700000000002,1
rf_06,BTC,15m,12000,volume,17,volume_phase_017,0.375,0.125,0.25,0.005030181086519115,0.001006036217303823,0.004024144869215292,0.0,0.0,0.0,0.046475499999999996,0.0,0.046475499999999996,0.02524700000000002,0.0,0.02524700000000002,1
rf_06,BTC,15m,12000,volume,83,volume_phase_083,0.375,0.125,0.25,0.005030181086519115,0.001006036217303823,0.004024144869215292,0.0,0.0,0.0,0.046475499999999996,0.0,0.046475499999999996,0.02524700000000002,0.0,0.02524700000000002,1
rf_06,BTC,15m,12000,volume,251,volume_phase_251,0.375,0.125,0.25,0.005030181086519115,0.001006036217303823,0.004024144869215292,0.0,0.0,0.0,0.046475499999999996,0.0,0.046475499999999996,0.02524700000000002,0.0,0.02524700000000002,1
rf_06,BTC,15m,24000,sign,17,sign_phase_017,0.375,0.375,0.0,0.0030181086519114686,0.0030181086519114686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
rf_06,BTC,15m,24000,sign,83,sign_phase_083,0.375,0.25,0.125,0.0030181086519114686,0.002012072434607646,0.0010060362173038226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
rf_06,BTC,15m,24000,sign,251,sign_phase_251,0.375,0.375,0.0,0.0030181086519114686,0.0030181086519114686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
rf_06,BTC,15m,24000,magnitude,17,magnitude_phase_017,0.375,0.5,-0.125,0.0030181086519114686,0.006036217303822937,-0.0030181086519114686,0.0,0.125,-0.125,0.0,0.189574,-0.189574,0.0,0.669411,-0.669411,0
rf_06,BTC,15m,24000,magnitude,83,magnitude_phase_083,0.375,0.25,0.125,0.0030181086519114686,0.002012072434607646,0.0010060362173038226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
rf_06,BTC,15m,24000,magnitude,251,magnitude_phase_251,0.375,0.25,0.125,0.0030181086519114686,0.002012072434607646,0.0010060362173038226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
rf_06,BTC,15m,24000,wick,17,wick_phase_017,0.375,0.25,0.125,0.0030181086519114686,0.005030181086519115,-0.002012072434607646,0.0,0.0,0.0,0.0,0.1439205,-0.1439205,0.0,0.6494555,-0.6494555,0
rf_06,BTC,15m,24000,wick,83,wick_phase_083,0.375,0.375,0.0,0.0030181086519114686,0.005030181086519115,-0.002012072434607646,0.0,0.0,0.0,0.0,0.065875,-0.065875,0.0,0.32376225000000003,-0.32376225000000003,0
rf_06,BTC,15m,24000,wick,251,wick_phase_251,0.375,0.125,0.25,0.0030181086519114686,0.001006036217303823,0.0020120724346076456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
rf_06,BTC,15m,24000,volume,17,volume_phase_017,0.375,0.25,0.125,0.0030181086519114686,0.005030181086519115,-0.002012072434607646,0.0,0.0,0.0,0.0,0.100297,-0.100297,0.0,0.627084,-0.627084,0
rf_06,BTC,15m,24000,volume,83,volume_phase_083,0.375,0.375,0.0,0.0030181086519114686,0.004024144869215292,-0.0010060362173038235,0.0,0.0,0.0,0.0,0.100384,-0.100384,0.0,0.615862,-0.615862,0
rf_06,BTC,15m,24000,volume,251,volume_phase_251,0.375,0.25,0.125,0.0030181086519114686,0.005030181086519115,-0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
rf_06,BTC,1h,0,sign,17,sign_phase_017,0.125,0.25,-0.125,0.001006036217303823,0.002012072434607646,-0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
rf_06,BTC,1h,0,sign,83,sign_phase_083,0.125,0.375,-0.25,0.001006036217303823,0.0030181086519114686,-0.0020120724346076456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
rf_06,BTC,1h,0,sign,251,sign_phase_251,0.125,0.5,-0.375,0.001006036217303823,0.004024144869215292,-0.003018108651911469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
rf_06,BTC,1h,0,magnitude,17,magnitude_phase_017,0.125,0.125,0.0,0.001006036217303823,0.002012072434607646,-0.001006036217303823,0.0,0.0,0.0,0.0,0.047698,-0.047698,0.0,0.3111935,-0.3111935,0
rf_06,BTC,1h,0,magnitude,83,magnitude_phase_083,0.125,0.25,-0.125,0.001006036217303823,0.0030181086519114686,-0.0020120724346076456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
