phase_key,phase_class,window_reading,world,data_file,current_start_tick,current_end_tick,center_tick,current_intake,current_loudness,current_sharpness,current_rekopplung,current_strain,delta_next_rekopplung,delta_next_strain,raw_rows,raw_return,range_ratio,body_ratio,direction_consistency,expansion_ratio,break_ratio,movement_class
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,1402,1402,1402,0.518071,0.89531,0.688602,0.559228,0.320771,0.101514,-0.138417,71,0.01336767,0.01925435,0.00131967,0.04347826,3.4222365,0.49100257,bewegungsbruch
rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,4914,4914,4914,0.531251,0.909274,0.268863,0.550088,0.320725,0.062061,-0.082034,71,-0.01130856,0.01673206,0.00108405,0.1641791,3.64250814,0.54315961,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,PAXG_5M_10K,kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,1623,1623,1623,0.466827,0.836016,0.533641,0.552641,0.320537,0.102132,-0.128799,71,-0.00099108,0.00891972,0.00031407,0.02325581,12.19191919,0.45454545,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,BTC_5M_2K,kontrolliert_btc_2024_5m_test1_2000_BTCUSDT.csv,1260,1260,1260,0.500172,0.873478,0.663645,0.594773,0.319391,0.064555,-0.123306,71,0.00327489,0.02043343,0.00105411,0.17142857,4.45556978,0.49027013,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,5301,5301,5301,0.475843,0.849858,0.593595,0.554503,0.318608,0.077331,-0.101163,71,-0.022699,0.05970149,0.00304376,0.02941176,3.49779412,0.51102941,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,2770,2770,2770,0.497304,0.879963,0.645373,0.562999,0.318585,0.041123,-0.072,71,0.0140413,0.02430678,0.00105198,0.1641791,4.3047696,0.51172191,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,6583,6583,6583,0.516884,0.92048,0.480604,0.560686,0.316584,0.08863,-0.1157,71,-0.03534279,0.04089835,0.00197283,0.10144928,2.38630705,0.49170124,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,3510,3511,3510,0.403415,0.708039,0.348259,0.553382,0.316545,0.107918,-0.12958,71,-0.05639098,0.08228906,0.00248273,0.28125,2.82289157,0.50843373,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,4791,4791,4791,0.486099,0.860158,0.673913,0.565439,0.316474,0.062218,-0.097274,71,-0.02851638,0.05356455,0.00253467,0.0,4.4375,0.53068182,bewegungsbruch
rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,SOL_5M_2K,kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,1510,1510,1510,0.458482,0.813343,0.574961,0.555653,0.316345,0.118393,-0.146753,71,-0.04527041,0.08061576,0.00282575,0.17142857,3.57376643,0.49119762,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,2558,2559,2558,0.441043,0.783786,0.370244,0.560469,0.316007,0.087835,-0.119119,71,-0.00821966,0.03217908,0.00321446,0.07462687,4.61391437,0.49885321,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,1995,1995,1995,0.48736,0.867782,0.665681,0.557061,0.315996,0.095681,-0.129774,71,0.01852179,0.06473805,0.00283231,0.0,9.8072479,0.5987395,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,4502,4502,4502,0.53211,0.934155,0.519951,0.560073,0.31521,0.064459,-0.082952,71,0.04015776,0.07565436,0.00263611,0.01492537,5.51813472,0.4507772,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,1283,1283,1283,0.470602,0.821341,0.699315,0.55898,0.315022,0.067183,-0.091083,71,-0.0077248,0.02848521,0.0014756,0.08823529,3.83679039,0.47379913,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,1173,1174,1174,0.415967,0.725601,0.392855,0.555202,0.314976,0.047726,-0.066994,71,-0.01770213,0.06280851,0.00165418,0.04347826,13.4779661,0.46779661,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,8395,8395,8395,0.521076,0.887382,0.698747,0.561767,0.314878,0.094093,-0.121197,71,-0.0113261,0.02312412,0.00126953,0.0877193,3.15186916,0.44626168,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,BTC_5M_2K,kontrolliert_btc_2024_5m_test1_2000_BTCUSDT.csv,1173,1174,1174,0.418725,0.738336,0.407975,0.556085,0.314711,0.054211,-0.080181,71,-0.01602322,0.0433011,0.00142872,0.02857143,10.61393731,0.45462197,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,7266,7266,7266,0.48969,0.85353,0.58032,0.557761,0.314702,0.101118,-0.115512,71,-0.00359712,0.0256295,0.00146925,0.03125,2.71235955,0.52134831,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,3432,3432,3432,0.385956,0.675184,0.219948,0.555965,0.314634,0.084372,-0.109074,71,-0.01468809,0.05546916,0.00181076,0.05882353,8.28039702,0.46153846,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,9364,9364,9364,0.497243,0.881459,0.446865,0.564508,0.314627,0.093097,-0.118906,71,-0.00699301,0.02097902,0.00140921,0.03225806,3.30684932,0.50958904,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,5038,5038,5038,0.468424,0.832093,0.629878,0.55818,0.314538,0.100669,-0.135338,71,-0.04781772,0.06578947,0.00294256,0.14705882,3.21374686,0.54568315,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,9625,9625,9625,0.528909,0.927601,0.505457,0.569522,0.314465,0.096384,-0.138924,71,-0.01044084,0.03132251,0.00238554,0.06451613,2.94765343,0.52707581,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,4446,4447,4446,0.413086,0.741664,0.610011,0.562536,0.314449,0.072541,-0.106217,71,0.0443038,0.06664185,0.00214991,0.16129032,9.80517879,0.50554871,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,3731,3731,3731,0.526411,0.91138,0.595027,0.560998,0.314243,0.113812,-0.127858,71,-0.00357275,0.01195023,0.00089709,0.06060606,3.18504673,0.48317757,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,2022,2024,2023,0.326187,0.538247,0.304093,0.552384,0.313887,0.094137,-0.12231,71,-0.02620861,0.06711528,0.00399065,0.06060606,6.18516065,0.52997681,bewegungsbruch
rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,963,963,963,0.398893,0.70713,0.353429,0.556625,0.313847,0.108202,-0.121335,71,-0.00218288,0.01916081,0.00168925,0.02857143,3.03285871,0.54162103,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,5352,5352,5352,0.509386,0.88106,0.680261,0.560227,0.31361,0.133112,-0.168894,71,-0.003276,0.01638002,0.0014419,0.07692308,2.4118896,0.53078556,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,4443,4443,4443,0.538185,0.941651,0.500081,0.560356,0.31358,0.125799,-0.160686,71,0.04676394,0.06696596,0.0021709,0.16129032,9.85377943,0.51053284,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,3089,3091,3090,0.362255,0.618144,0.335258,0.554571,0.313518,0.09461,-0.129051,71,0.01794311,0.08358862,0.00389558,0.07692308,7.29225023,0.59010271,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,PAXG_5M_10K,kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,7702,7702,7702,0.450202,0.79138,0.55554,0.55858,0.313393,0.118021,-0.135942,71,0.0005,0.0035,0.0003662,0.1,4.22619048,0.61904762,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,3620,3620,3620,0.499063,0.873786,0.639722,0.564779,0.313253,0.100517,-0.127412,71,-0.0026455,0.0154321,0.00126065,0.0,2.20155039,0.5245478,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,2685,2685,2685,0.489024,0.853016,0.698074,0.566305,0.313162,0.085789,-0.103843,71,0.00413174,0.01392988,0.00094606,0.07462687,2.8374778,0.5053286,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,143,143,143,0.522072,0.906336,0.589305,0.562089,0.312584,0.097598,-0.127458,71,0.00373316,0.01038792,0.0005738,0.16666667,4.04824561,0.5504386,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,8501,8501,8501,0.406879,0.734699,0.406223,0.556533,0.312244,0.116792,-0.133223,71,-0.01498689,0.02379168,0.0010475,0.02941176,3.46992481,0.49749373,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,3590,3590,3590,0.461642,0.809886,0.528503,0.559246,0.312197,0.113217,-0.13514,71,-0.00951322,0.01877934,0.00105973,0.03030303,3.37292162,0.48218527,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,SOL_1H_2K,kontrolliert_sol_2024_1h_test1_2000_SOLUSDT.csv,1680,1680,1680,0.425131,0.752469,0.512734,0.558798,0.312034,0.120688,-0.137604,71,0.02594838,0.12606416,0.00664561,0.05714286,3.687654,0.44922838,bewegungsbruch
